Date,Pilotcode,VehicleCode,StationCode,StartTime,EndTime,Distance,Total,,,,,,collection
10-06-2024,1149,2355,504,8:14:18,19:52:57,159.4,1608,,,,,,
10-06-2024,1181,2319,504,10:12:46,19:42:01,113.3,1301,,,,,,
11-06-2024,1152,2349,504,7:03:57,20:13:57,166.7,1800,,,,,,
11-06-2024,1022,2016,503,8:37:50,17:33:21,105.5,1235,,,,,,
11-06-2024,1017,2023,504,7:50:06,18:07:07,154.5,1461,,,,,,
11-06-2024,1023,2026,503,8:32:46,18:27:45,113.5,1208,,,,,,
11-06-2024,1048,2044,504,7:46:07,16:22:24,124.9,1515,,,,,,
11-06-2024,1115,2054,503,8:05:16,18:12:24,108.3,1202,,,,,,
11-06-2024,1116,2112,503,8:24:33,17:53:03,100.9,1188,,,,,,
11-06-2024,1685,2293,511,7:34:36,19:52:19,100.5,1105,,,,,,
11-06-2024,1227,2316,504,8:52:22,21:07:54,154.9,1508,,,,,,
11-06-2024,1265,2328,504,7:42:07,20:30:04,144.6,1723,,,,,,
11-06-2024,1681,2342,511,8:02:31,20:00:20,94.3,1034,,,,,,
11-06-2024,1149,2355,504,7:37:45,20:06:40,181.2,1905,,,,,,
11-06-2024,1055,2055,504,10:27:04,18:25:27,80.7,880,,,,,,
11-06-2024,1150,2287,511,9:29:25,18:52:57,80.1,825,,,,,,
11-06-2024,1112,2297,511,9:25:57,19:08:47,118.3,1301,,,,,,
11-06-2024,1181,2319,504,10:45:03,19:57:29,94.7,1234,,,,,,
12-06-2024,1055,2055,504,6:03:29,18:44:52,83.4,917,,,,,,
12-06-2024,1237,2307,504,6:56:26,20:09:56,129.7,1427,,,,,,
12-06-2024,1152,2349,504,7:06:12,19:16:04,159.8,1650,,,,,,
12-06-2024,1022,2016,503,8:36:52,17:05:07,104.2,1234,,,,,,
12-06-2024,1017,2023,504,8:02:17,14:51:30,102.7,1120,,,,,,
12-06-2024,1023,2026,503,8:27:08,19:17:50,120.1,1289,,,,,,
12-06-2024,1048,2044,504,7:59:10,18:25:59,159.9,1575,,,,,,
12-06-2024,1115,2054,503,8:23:18,18:33:21,102.9,1267,,,,,,
12-06-2024,1116,2112,503,8:38:10,19:04:14,101.6,1111,,,,,,
12-06-2024,1685,2293,511,7:30:47,20:35:03,45.2,497,,,,,,
12-06-2024,1112,2297,511,9:02:16,17:57:56,127.1,1398,,,,,,
12-06-2024,1265,2328,504,8:09:14,19:18:04,150.7,1616,,,,,,
12-06-2024,1681,2342,511,9:00:48,20:46:18,52.9,572,,,,,,
12-06-2024,1149,2355,504,7:44:03,19:37:40,156.7,1618,,,,,,
12-06-2024,1150,2287,511,9:27:41,19:06:13,74.1,842,,,,,,
12-06-2024,1227,2316,504,9:40:56,22:06:45,130.8,1415,,,,,,
12-06-2024,1181,2319,504,10:27:25,19:20:18,124.1,1221,,,,,,
12-06-2024,1236,2343,511,9:55:20,18:33:07,93.4,954,,,,,,
13-06-2024,1265,2328,504,7:24:06,19:25:42,137.7,1637,,,,,,
13-06-2024,1023,2026,503,8:29:32,17:16:20,107.1,1231,,,,,,
13-06-2024,1048,2044,504,7:39:09,15:44:03,95.6,1531,,,,,,
13-06-2024,1116,2112,503,8:20:52,18:40:10,91.6,1216,,,,,,
13-06-2024,1685,2293,511,7:36:01,20:27:50,116.5,1281,,,,,,
13-06-2024,1237,2307,504,7:48:02,17:15:47,89.7,987,,,,,,
13-06-2024,1227,2316,504,8:28:29,21:56:19,147.2,1508,,,,,,
13-06-2024,1681,2342,511,8:10:10,20:17:58,83.8,922,,,,,,
13-06-2024,1149,2355,504,7:50:46,19:22:36,138,1520,,,,,,
13-06-2024,1150,2287,511,9:49:56,19:45:11,79.8,862,,,,,,
13-06-2024,1112,2297,511,9:33:41,18:32:52,77.8,847,,,,,,
13-06-2024,1181,2319,504,9:11:41,19:46:30,123.8,1219,,,,,,
13-06-2024,1226,2329,504,9:54:39,21:31:01,133.5,1212,,,,,,
13-06-2024,1236,2343,511,9:20:44,18:37:12,67.3,648,,,,,,
14-06-2024,1237,2307,504,7:07:28,19:14:00,135.9,1485,,,,,,
14-06-2024,1152,2349,504,7:25:04,12:34:29,79.5,874,,,,,,
14-06-2024,1022,2016,503,8:36:15,17:18:00,107.7,1227,,,,,,
14-06-2024,1017,2023,504,8:01:52,16:47:28,107.3,1234,,,,,,
14-06-2024,1023,2026,503,8:33:17,16:49:21,97.6,1241,,,,,,
14-06-2024,1048,2044,504,8:17:01,15:55:10,83.1,1012,,,,,,
14-06-2024,1115,2054,503,8:20:43,17:34:48,106.5,1223,,,,,,
